# Undirected graph (each unordered pair of nodes is saved once): SIR_erdos_renyi.txt
#Institution	Counterparty	starting_date	finish_date	interes_rate	amount
1	45	01/11/2013	16/01/2018	12	2367659
1	45	01/11/2013	19/01/2018	9	224385
1	45	01/11/2013	17/11/2017	9	4531804
1	45	01/11/2013	16/03/2018	15	2861050
1	45	01/11/2013	14/11/2017	7	359183
1	45	01/11/2013	16/09/2017	7	3835948
1	45	01/11/2013	02/11/2017	13	3719570
1	45	01/11/2013	13/12/2017	13	3885616
1	45	01/11/2013	13/11/2017	10	4896366
1	45	01/11/2013	07/10/2017	12	2990758
1	45	01/11/2013	10/11/2017	10	4529992
1	45	01/11/2013	20/02/2018	11	3463901
1	45	01/11/2013	31/10/2017	7	301935
1	45	01/11/2013	10/02/2018	8	2933567
2	45	27/02/2014	04/12/2017	10	3856583
2	45	29/05/2014	05/10/2017	14	975413
2	45	26/06/2014	06/02/2018	12	1505815
2	12	30/09/2014	08/03/2018	14	2986625
2	12	30/09/2014	17/02/2018	8	1343181
2	12	07/10/2014	24/11/2017	12	4231051
2	12	07/10/2014	09/02/2018	8	2395815
2	12	07/10/2014	25/10/2017	9	3243744
3	12	04/09/2014	16/03/2018	15	2841987
2	45	22/12/2014	07/09/2017	9	2318579
2	45	22/12/2014	09/02/2018	6	3065828
2	45	22/01/2015	09/02/2018	8	4773910
2	12	30/09/2015	28/01/2018	8	4857088
2	45	20/11/2015	20/02/2018	15	2412694
2	45	20/11/2015	16/03/2018	5	4316952
2	45	20/11/2015	17/01/2018	12	3490349
2	45	20/11/2015	07/10/2017	9	1951075
2	45	20/11/2015	14/02/2018	9	3090772
2	45	20/11/2015	11/02/2018	5	4169060
2	45	20/11/2015	11/02/2018	7	1858668
2	45	20/11/2015	10/03/2018	11	1402485
2	45	20/11/2015	11/02/2018	14	4302053
1	45	30/11/2015	15/03/2018	13	2909756
1	45	30/11/2015	16/12/2017	10	2083756
1	45	30/11/2015	24/09/2017	7	1288138
1	45	30/11/2015	06/03/2018	5	4675137
1	45	30/11/2015	22/10/2017	11	597422
1	45	30/11/2015	19/11/2017	12	1962871
1	45	30/11/2015	29/01/2018	6	4782074
1	45	30/11/2015	11/01/2018	9	1393136
1	45	30/11/2015	23/11/2017	10	3930868
1	45	30/11/2015	04/10/2017	12	210600
1	45	30/11/2015	25/10/2017	5	133117
1	45	30/11/2015	20/09/2017	13	4609788
1	45	30/11/2015	16/03/2018	10	714616
1	45	30/11/2015	30/09/2017	14	511882
1	45	30/11/2015	11/10/2017	7	1078759
1	45	30/11/2015	28/01/2018	11	137417
1	45	30/11/2015	22/02/2018	10	2678158
1	45	30/11/2015	05/10/2017	5	2050248
1	45	30/11/2015	02/02/2018	12	4862360
1	45	30/11/2015	24/11/2017	15	4246076
1	45	30/11/2015	08/11/2017	12	4623103
1	45	30/11/2015	21/02/2018	13	3745367
2	45	23/12/2015	08/01/2018	10	1629482
4	12	30/05/2016	13/09/2017	15	707410
2	45	23/12/2015	10/10/2017	6	2129498
2	45	23/12/2015	12/11/2017	8	4975345
2	45	23/12/2015	20/12/2017	8	1358374
2	45	23/12/2015	15/02/2018	5	1563863
2	45	23/12/2015	19/02/2018	15	4430083
2	45	23/12/2015	20/10/2017	15	4807211
2	45	23/12/2015	17/10/2017	15	1386392
2	45	23/12/2015	19/11/2017	6	486318
2	45	23/12/2015	27/12/2017	11	2741258
2	45	23/12/2015	07/01/2018	11	4251675
5	12	31/10/2016	01/03/2018	13	4529262
5	12	31/10/2016	09/10/2017	11	2189735
2	12	29/11/2016	08/01/2018	11	3558265
2	45	29/11/2016	08/12/2017	8	920562
2	45	29/11/2016	21/09/2017	15	2016234
2	45	29/11/2016	10/03/2018	14	3472031
2	45	29/11/2016	06/09/2017	8	109937
2	45	29/11/2016	22/02/2018	7	1495990
2	45	29/11/2016	11/10/2017	7	2784014
2	45	29/11/2016	13/01/2018	9	2323064
2	45	29/11/2016	30/01/2018	8	4167814
2	45	29/11/2016	29/09/2017	13	768846
2	45	29/11/2016	05/12/2017	13	1727758
2	45	29/11/2016	03/03/2018	6	1453320
2	45	29/11/2016	06/01/2018	8	4904479
2	45	29/11/2016	17/10/2017	6	476722
2	45	29/11/2016	19/09/2017	6	4713903
2	45	29/11/2016	01/03/2018	6	967918
2	45	29/11/2016	23/01/2018	15	1747301
2	45	29/11/2016	18/03/2018	14	2271887
2	45	29/11/2016	05/11/2017	12	590132
2	45	29/11/2016	11/11/2017	14	2813756
2	45	29/11/2016	06/01/2018	5	2752270
2	45	29/11/2016	29/11/2017	12	1362850
2	12	30/12/2016	14/02/2018	15	4794814
6	9	09/01/2017	26/12/2017	5	691166
4	45	27/12/2016	28/11/2017	15	156549
4	45	15/12/2016	18/02/2018	6	4784649
4	13	30/12/2016	16/09/2017	14	566660
7	12	28/12/2016	09/11/2017	7	2042652
7	12	28/12/2016	04/03/2018	10	4446653
7	12	28/12/2016	12/01/2018	9	1936824
7	12	28/12/2016	06/09/2017	9	1574319
7	12	28/12/2016	04/12/2017	11	2720886
7	12	28/12/2016	01/11/2017	12	2874868
7	12	28/12/2016	19/02/2018	11	1284441
7	12	28/12/2016	28/01/2018	13	3821603
7	12	28/12/2016	02/12/2017	12	2182682
7	12	28/12/2016	13/02/2018	7	3479091
7	12	28/12/2016	31/12/2017	14	1630573
7	12	28/12/2016	27/10/2017	12	4744279
7	12	28/12/2016	13/02/2018	14	603355
7	12	28/12/2016	07/03/2018	14	560300
7	12	28/12/2016	14/11/2017	7	2466001
7	12	28/12/2016	14/01/2018	11	2587214
7	12	28/12/2016	18/01/2018	15	3316012
7	12	28/12/2016	08/11/2017	6	2737842
7	12	28/12/2016	05/01/2018	8	94295
7	12	28/12/2016	20/01/2018	7	1978852
7	12	28/12/2016	13/09/2017	13	2285611
7	12	28/12/2016	14/01/2018	5	1867230
7	12	28/12/2016	22/11/2017	10	3018794
7	12	28/12/2016	11/09/2017	9	4575832
7	12	28/12/2016	14/03/2018	7	2821380
7	12	28/12/2016	26/02/2018	15	4443840
7	12	28/12/2016	10/10/2017	8	2773358
7	12	28/12/2016	15/10/2017	14	3915948
7	12	28/12/2016	27/11/2017	6	4345284
7	12	28/12/2016	26/10/2017	9	969971
7	12	28/12/2016	07/01/2018	10	3131517
7	12	28/12/2016	27/11/2017	6	4954267
7	12	28/12/2016	27/09/2017	10	4421284
7	12	28/12/2016	13/10/2017	11	1758113
7	12	28/12/2016	10/03/2018	10	500177
7	12	28/12/2016	20/12/2017	6	463180
7	12	28/12/2016	30/12/2017	5	4051049
7	12	28/12/2016	18/01/2018	8	4967985
7	12	28/12/2016	22/01/2018	11	4340904
7	12	28/12/2016	22/11/2017	8	2412194
7	12	28/12/2016	27/12/2017	15	4902488
1	45	07/10/2016	31/10/2017	14	3542418
1	45	10/11/2016	12/10/2017	5	4336988
8	13	30/08/2013	23/11/2017	9	796203
8	13	30/08/2013	18/01/2018	11	3505795
8	13	30/08/2013	30/12/2017	11	3390634
8	13	30/08/2013	06/02/2018	12	1183095
8	13	30/08/2013	17/03/2018	12	3054622
8	13	30/08/2013	02/02/2018	8	69318
8	13	30/08/2013	12/03/2018	7	2412712
8	13	30/08/2013	17/02/2018	14	3827643
8	13	30/08/2013	29/12/2017	5	948841
8	13	30/08/2013	29/12/2017	15	438260
8	13	30/08/2013	23/10/2017	9	504305
8	13	30/08/2013	30/01/2018	13	822350
8	13	30/08/2013	24/01/2018	13	266154
8	13	30/08/2013	10/11/2017	10	2968896
8	13	30/08/2013	15/10/2017	6	2393074
8	13	30/08/2013	19/09/2017	13	3310620
8	13	30/08/2013	16/01/2018	7	1750854
8	13	30/08/2013	07/09/2017	12	2829488
8	13	30/08/2013	24/02/2018	13	3663629
8	13	30/08/2013	17/03/2018	5	2918259
8	13	30/08/2013	16/11/2017	5	98434
8	13	30/08/2013	28/02/2018	13	3615762
8	13	30/08/2013	11/12/2017	8	711976
8	13	30/08/2013	31/01/2018	6	2470839
8	13	30/08/2013	04/12/2017	15	4568720
8	13	30/08/2013	02/12/2017	8	4424575
8	13	30/08/2013	29/11/2017	11	2372583
8	13	30/08/2013	13/12/2017	15	3642281
8	13	30/08/2013	13/03/2018	7	1979823
8	13	30/08/2013	15/12/2017	7	3330472
8	13	30/08/2013	27/01/2018	7	1930974
8	13	30/08/2013	19/10/2017	14	3096092
8	13	30/08/2013	17/11/2017	9	3407227
8	13	30/08/2013	19/01/2018	9	4887487
8	13	30/08/2013	11/09/2017	5	2509449
8	13	30/08/2013	29/11/2017	11	1217868
8	13	30/08/2013	04/12/2017	9	2774252
8	13	30/08/2013	18/12/2017	10	2023518
8	13	30/08/2013	27/10/2017	5	361920
8	13	30/08/2013	10/12/2017	13	3743435
8	13	30/08/2013	07/12/2017	7	2987229
8	13	30/08/2013	16/10/2017	7	4574118
8	13	30/08/2013	07/03/2018	9	4962352
8	13	30/08/2013	18/12/2017	14	4512640
8	13	30/08/2013	15/09/2017	5	565402
8	13	30/08/2013	11/01/2018	11	3991327
8	13	30/08/2013	28/01/2018	11	4607079
8	13	30/08/2013	30/11/2017	9	2107974
8	13	30/08/2013	19/11/2017	10	2654281
8	13	30/08/2013	15/02/2018	7	735337
8	13	30/08/2013	15/12/2017	10	893215
8	13	30/08/2013	09/03/2018	15	58067
8	13	30/08/2013	05/10/2017	11	1417368
8	13	30/08/2013	18/12/2017	15	2746850
8	13	30/08/2013	27/10/2017	11	3265836
8	13	30/08/2013	21/02/2018	7	3121112
8	13	30/08/2013	21/01/2018	7	3306324
8	13	30/08/2013	14/03/2018	10	2180293
8	13	30/08/2013	13/03/2018	11	190696
8	13	30/08/2013	28/09/2017	5	741330
8	13	30/08/2013	30/10/2017	5	1143101
